filename|duration|filepath
00000.flac|2.508|datasets/ViSEC/flacs/00000.flac
00001.flac|1.6|datasets/ViSEC/flacs/00001.flac
00002.flac|1.472|datasets/ViSEC/flacs/00002.flac
00003.flac|3.648|datasets/ViSEC/flacs/00003.flac
00004.flac|3.584|datasets/ViSEC/flacs/00004.flac
00005.flac|1.663|datasets/ViSEC/flacs/00005.flac
00006.flac|1.088|datasets/ViSEC/flacs/00006.flac
00007.flac|1.6|datasets/ViSEC/flacs/00007.flac
00008.flac|5.056|datasets/ViSEC/flacs/00008.flac
00009.flac|1.922|datasets/ViSEC/flacs/00009.flac
00010.flac|1.6|datasets/ViSEC/flacs/00010.flac
00011.flac|1.483|datasets/ViSEC/flacs/00011.flac
00012.flac|2.368|datasets/ViSEC/flacs/00012.flac
00013.flac|2.19|datasets/ViSEC/flacs/00013.flac
00014.flac|1.71|datasets/ViSEC/flacs/00014.flac
00015.flac|2.368|datasets/ViSEC/flacs/00015.flac
00016.flac|2.752|datasets/ViSEC/flacs/00016.flac
00017.flac|6.656|datasets/ViSEC/flacs/00017.flac
00018.flac|1.04|datasets/ViSEC/flacs/00018.flac
00019.flac|2.12|datasets/ViSEC/flacs/00019.flac
00020.flac|1.472|datasets/ViSEC/flacs/00020.flac
00021.flac|1.98|datasets/ViSEC/flacs/00021.flac
00022.flac|2.1|datasets/ViSEC/flacs/00022.flac
00023.flac|1.34|datasets/ViSEC/flacs/00023.flac
00024.flac|1.26|datasets/ViSEC/flacs/00024.flac
00025.flac|1.28|datasets/ViSEC/flacs/00025.flac
00026.flac|1.792|datasets/ViSEC/flacs/00026.flac
00027.flac|2.624|datasets/ViSEC/flacs/00027.flac
00028.flac|2.816|datasets/ViSEC/flacs/00028.flac
00029.flac|1.28|datasets/ViSEC/flacs/00029.flac
00030.flac|1.216|datasets/ViSEC/flacs/00030.flac
00031.flac|1.113|datasets/ViSEC/flacs/00031.flac
00032.flac|1.72|datasets/ViSEC/flacs/00032.flac
00033.flac|1.8|datasets/ViSEC/flacs/00033.flac
00034.flac|1.472|datasets/ViSEC/flacs/00034.flac
00035.flac|1.22|datasets/ViSEC/flacs/00035.flac
00036.flac|1.536|datasets/ViSEC/flacs/00036.flac
00037.flac|1.984|datasets/ViSEC/flacs/00037.flac
