filename|arousal|valence
00000.flac|Init|Init
00001.flac|Init|Init
00002.flac|Init|Init
00003.flac|Init|Init
00004.flac|Init|Init
00005.flac|Init|Init
00006.flac|Init|Init
00007.flac|Init|Init
00008.flac|Init|Init
00009.flac|Init|Init
00010.flac|Init|Init
00011.flac|Init|Init
00012.flac|Init|Init
00013.flac|Init|Init
00014.flac|Init|Init
00015.flac|Init|Init
00016.flac|Init|Init
00017.flac|Init|Init
00018.flac|Init|Init
00019.flac|Init|Init
00020.flac|Init|Init
00021.flac|Init|Init
00022.flac|Init|Init
00023.flac|Init|Init
00024.flac|Init|Init
00025.flac|Init|Init
00026.flac|Init|Init
00027.flac|Init|Init
00028.flac|Init|Init
00029.flac|Init|Init
00030.flac|Init|Init
00031.flac|Init|Init
00032.flac|Init|Init
00033.flac|Init|Init
00034.flac|Init|Init
00035.flac|Init|Init
00036.flac|Init|Init
00037.flac|Init|Init
00038.flac|Init|Init
00039.flac|Init|Init
00040.flac|Init|Init
00041.flac|Init|Init
00042.flac|Init|Init
00043.flac|Init|Init
00044.flac|Init|Init
00045.flac|Init|Init
00046.flac|Init|Init
00047.flac|Init|Init
00048.flac|Init|Init
00049.flac|Init|Init
00050.flac|Init|Init
00051.flac|Init|Init
00052.flac|Init|Init
00053.flac|Init|Init
00054.flac|Init|Init
00055.flac|Init|Init
00056.flac|Init|Init
00057.flac|Init|Init
00058.flac|Init|Init
00059.flac|Init|Init
00060.flac|Init|Init
00061.flac|Init|Init
00062.flac|Init|Init
00063.flac|Init|Init
00064.flac|Init|Init
00065.flac|Init|Init
00066.flac|Init|Init
00067.flac|Init|Init
00068.flac|Init|Init
00069.flac|Init|Init
00070.flac|Init|Init
00071.flac|Init|Init
00072.flac|Init|Init
00073.flac|Init|Init
00074.flac|Init|Init
00075.flac|Init|Init
00076.flac|Init|Init
00077.flac|Init|Init
00078.flac|Init|Init
00079.flac|Init|Init
00080.flac|Init|Init
00081.flac|Init|Init
00082.flac|Init|Init
00083.flac|Init|Init
00084.flac|Init|Init
00085.flac|Init|Init
00086.flac|Init|Init
00087.flac|Init|Init
00088.flac|Init|Init
00089.flac|Init|Init
00090.flac|Init|Init
00091.flac|Init|Init
00092.flac|Init|Init
00093.flac|Init|Init
00094.flac|Init|Init
00095.flac|Init|Init
00096.flac|Init|Init
00097.flac|Init|Init
00098.flac|Init|Init
00099.flac|Init|Init
00100.flac|Init|Init
00101.flac|Init|Init
00102.flac|Init|Init
00103.flac|Init|Init
00104.flac|Init|Init
00105.flac|Init|Init
00106.flac|Init|Init
00107.flac|Init|Init
00108.flac|Init|Init
00109.flac|Init|Init
00110.flac|Init|Init
00111.flac|Init|Init
00112.flac|Init|Init
00113.flac|Init|Init
00114.flac|Init|Init
00115.flac|Init|Init
00116.flac|Init|Init
00117.flac|Init|Init
00118.flac|Init|Init
00119.flac|Init|Init
00120.flac|Init|Init
00121.flac|Init|Init
00122.flac|Init|Init
00123.flac|Init|Init
00124.flac|Init|Init
00125.flac|Init|Init
00126.flac|Init|Init
00127.flac|Init|Init
00128.flac|Init|Init
00129.flac|Init|Init
00130.flac|Init|Init
00131.flac|Init|Init
00132.flac|Init|Init
00133.flac|Init|Init
00134.flac|Init|Init
00135.flac|Init|Init
00136.flac|Init|Init
00137.flac|Init|Init
00138.flac|Init|Init
00139.flac|Init|Init
00140.flac|Init|Init
00141.flac|Init|Init
00142.flac|Init|Init
00143.flac|Init|Init
00144.flac|Init|Init
00145.flac|Init|Init
00146.flac|Init|Init
