filename|arousal|valence
00000.flac|-0.5|-0.5
00001.flac|Ignore|0
00002.flac|-0.5|+2
00003.flac|0|Init
00004.flac|-2|-2
00005.flac|-0.5|-0.5
00006.flac|Init|+0.5
00007.flac|Ignore|Ignore
00008.flac|Init|Init
00009.flac|Init|Ignore
00010.flac|0|Init
00011.flac|Init|0
00012.flac|-2|-2
00013.flac|Ignore|+0.5
00014.flac|+0.5|+0.5
00015.flac|+2|Init
00016.flac|-2|-0.5
00017.flac|+2|-1
00018.flac|Init|-2
00019.flac|+2|+2
00020.flac|0|+0.5
00021.flac|+1|0
00022.flac|+1|+2
00023.flac|-0.5|-1
00024.flac|-2|0
00025.flac|+2|Init
00026.flac|0|-1
00027.flac|Ignore|Init
00028.flac|+1|-1
00029.flac|0|-1
00030.flac|-2|0
00031.flac|Init|0
00032.flac|+2|+1
00033.flac|-1|Ignore
00034.flac|0|Ignore
00035.flac|Ignore|Init
00036.flac|+0.5|+2
00037.flac|-2|-1
00038.flac|-0.5|-1
00039.flac|0|+2
00040.flac|Init|+1
00041.flac|-2|-1
00042.flac|-0.5|Ignore
00043.flac|Init|Ignore
00044.flac|Init|Ignore
00045.flac|+2|+2
00046.flac|Init|+0.5
00047.flac|-2|+1
00048.flac|+1|+0.5
00049.flac|-1|Init
00050.flac|+2|+1
00051.flac|-1|Ignore
00052.flac|-1|+2
00053.flac|+2|Init
00054.flac|+0.5|Ignore
00055.flac|+2|+1
00056.flac|-2|+2
00057.flac|Ignore|-0.5
00058.flac|+1|-1
00059.flac|Ignore|+2
00060.flac|+2|+2
00061.flac|Ignore|Init
00062.flac|-2|-2
00063.flac|-0.5|0
00064.flac|-1|0
00065.flac|+0.5|-0.5
00066.flac|Ignore|Init
00067.flac|+1|+2
00068.flac|Init|+1
00069.flac|0|-0.5
00070.flac|-2|-0.5
00071.flac|-1|0
00072.flac|-1|Init
00073.flac|+1|-1
00074.flac|+2|+2
00075.flac|+0.5|+2
00076.flac|+0.5|-0.5
